"","study_no","amount","unit","ingredient","rating"
"27",3,2,"cup","large very ripe bananas",4.18181800842285
"72",7,1,NA,"ripe banana",4.68292665481567
"133",12,2,NA,"medium bananas, sliced",4.81578969955444
"214",22,5,NA,"very ripe bananas",4.71661710739136
"314",32,2,NA,"bananas, peeled and halved lengthwise",4.09375
"394",40,3,NA,"ripe bananas",4.61746978759766
"478",48,2,NA,"small very ripe bananas, sliced",4.65863466262817
"568",57,4,NA,"very ripe bananas",4.65277767181396
"632",63,2,NA,"ripe bananas",4.09909915924072
"648",65,4,NA,"very ripe bananas, divided",4.56862735748291
"751",75,2,"cup","large very ripe bananas",4.18181800842285
"807",79,3,NA,"very ripe bananas",4.2857141494751
"819",80,2,NA,"ripe bananas, coarsely chopped",4.74193525314331
"824",81,4,NA,"ripe bananas, cut into chunks",4.5
"858",84,2.5,"cups","pureed ripe bananas",4.56666660308838
"916",88,NA,"cups","banana slices for garnish",4.37735843658447
"958",91,1,NA,"banana, sliced",4.04651165008545
"968",93,1,NA,"ripe banana",4.68292665481567
"1009",97,4,NA,"large ripe bananas",4.77777767181396
"1026",98,4,NA,"ripe bananas",4.77142858505249
"1048",100,2,NA,"small ripe bananas, sliced",3.60606050491333
"1114",105,3,NA,"ripe bananas",4.59999990463257
"1183",112,2,NA,"ripe bananas",3.48000001907349
"1262",119,3,NA,"ripe bananas",4.7619047164917
"1295",121,6,NA,"bananas",4.14285707473755
"1480",138,3,NA,"ripe bananas, sliced",4.11111116409302
"1492",139,1,"cup","bananas, sliced",3.55555558204651
"1517",141,3,NA,"bananas, peeled",4.5
"1537",143,3,NA,"ripe bananas, pureed",4
"1594",148,3,"tablespoon","very ripe bananas",4.16666650772095
"1658",152,3,NA,"ripe bananas",4.19999980926514
"1741",158,2,NA,"ripe bananas",3.33333325386047
"1788",162,2,"teaspoon","ripe bananas",4
"1798",163,3,NA,"large ripe bananas",4
"1943",174,3,NA,"overripe bananas, thinly sliced",0
