"","study_no","amount","unit","ingredient","rating"
"4",1,2,"cups","mashed ripe banana",4.63492059707642
"19",2,1,"cup","mashed bananas",4.67164182662964
"42",4,3,"cup","ripe bananas, mashed",4.69473695755005
"53",5,1,"cup","mashed bananas",4.6641001701355
"64",6,6,NA,"bananas, mashed",4.67378330230713
"84",8,3,NA,"bananas, mashed",4.69541788101196
"96",9,2,NA,"bananas, mashed",4.51702785491943
"109",10,3,NA,"bananas, mashed",4.803551197052
"123",11,2.33333333333333,"cups","mashed overripe bananas",4.57120370864868
"139",13,6,NA,"very ripe bananas, mashed",4.7706127166748
"152",14,2,"cups","mashed overripe bananas",4.69037246704102
"158",15,1,"cup","mashed bananas",4.73420476913452
"167",16,1.5,"cups","mashed banana",4.55555534362793
"176",17,3,NA,"bananas, mashed",4.69120121002197
"177",18,1,"cup","mashed bananas",4.73080253601074
"190",19,3,NA,"ripe bananas, mashed",4.62224817276001
"201",20,1,"cup","banana, mashed",4.41342735290527
"207",21,6,NA,"very ripe bananas, mashed",4.7973461151123
"225",23,3,NA,"ripe bananas, mashed",4.5810809135437
"233",24,1,"cup","mashed bananas",4.6054630279541
"240",25,3,NA,"very ripe bananas, mashed",4.28030300140381
"249",26,3,NA,"ripe bananas, mashed",4.75308656692505
"262",27,3,"cup","ripe bananas, mashed",4.69473695755005
"272",28,1,"cup","mashed bananas",4.67264556884766
"278",29,3,NA,"ripe bananas, mashed",4.77272748947144
"289",30,4,NA,"very ripe bananas, mashed",4.56310701370239
"294",31,2,NA,"ripe bananas, mashed",4.33740854263306
"318",33,1.5,"cups","mashed bananas",4.60732984542847
"333",34,2,"cups","mashed very ripe banana",4.70976257324219
"340",35,3,NA,"bananas, mashed",4.69541788101196
"351",36,2,NA,"bananas, mashed",4.14246559143066
"357",37,2,NA,"very ripe bananas, mashed",4.5747127532959
"376",38,1,"cup","mashed bananas",4.39285707473755
"387",39,1.5,"cups","mashed bananas",4.66467046737671
"397",41,3,NA,"bananas, mashed",4.70336389541626
"412",42,2,NA,"bananas, mashed",4.51702785491943
"424",43,1,"cup","mashed bananas",4.61589384078979
"436",44,1,"cup","mashed bananas",4.65410947799683
"451",45,0.666666666666667,"cup","mashed bananas",4.35862064361572
